year_month,fuel,fuel_cost
2024-01,nuclear,2582.87
2024-01,coal,32268.24
2024-01,lng,94373.35
2024-01,oil,143116.47
2024-01,chp,80217.35
2024-01,hydro,0.0
2024-02,nuclear,2581.01
2024-02,coal,32041.15
2024-02,lng,85783.62
2024-02,oil,142083.66
2024-02,chp,72916.08
2024-02,hydro,0.0
2024-03,nuclear,2584.76
2024-03,coal,34175.3
2024-03,lng,85248.75
2024-03,oil,141648.82
2024-03,chp,72461.44
2024-03,hydro,0.0
2024-04,nuclear,2584.33
2024-04,coal,34784.8
2024-04,lng,78118.74
2024-04,oil,141532.5
2024-04,chp,66400.93
2024-04,hydro,0.0
2024-05,nuclear,2579.51
2024-05,coal,35231.88
2024-05,lng,76155.32
2024-05,oil,141328.24
2024-05,chp,64732.02
2024-05,hydro,0.0
2024-06,nuclear,2582.11
2024-06,coal,35232.43
2024-06,lng,74578.38
2024-06,oil,146698.08
2024-06,chp,63391.62
2024-06,hydro,0.0
2024-07,nuclear,2578.88
2024-07,coal,35230.07
2024-07,lng,76053.04
2024-07,oil,147127.34
2024-07,chp,64645.08
2024-07,hydro,0.0
2024-08,nuclear,2578.22
2024-08,coal,34139.38
2024-08,lng,80314.96
2024-08,oil,146948.97
2024-08,chp,68267.72
2024-08,hydro,0.0
2024-09,nuclear,2576.78
2024-09,coal,33771.88
2024-09,lng,81288.74
2024-09,oil,142366.52
2024-09,chp,69095.43
2024-09,hydro,0.0
2024-10,nuclear,2574.98
2024-10,coal,33762.09
2024-10,lng,78220.26
2024-10,oil,135803.5
2024-10,chp,66487.22
2024-10,hydro,0.0
2024-11,nuclear,2572.53
2024-11,coal,34341.97
2024-11,lng,77950.73
2024-11,oil,125116.3
2024-11,chp,66258.12
2024-11,hydro,0.0
2024-12,nuclear,2565.66
2024-12,coal,36135.39
2024-12,lng,82687.26
2024-12,oil,125432.57
2024-12,chp,70284.17
2024-12,hydro,0.0
