iteration,mae,rmse
1,72303.14079166666,132994.71693252868
2,71811.10164166667,163077.35025173848
3,71774.625,169915.77928844825
4,71744.37879166668,173353.50942192433
5,71744.37879166668,175913.58867908735
6,71744.37879166668,176754.9062572094
7,71744.37879166668,177155.6211135097
8,71744.37879166666,177262.107930846
9,71744.37879166668,177667.02913393194
10,71744.37879166668,177937.37503444197
11,71744.37879166666,178069.17841466668
12,71744.37879166666,178069.17841466668
13,71744.37879166666,178069.17841466668
14,71744.37879166666,178069.17841466668
15,71744.37879166666,178069.17841466668
