hour,smp_pre,mc_mean_smp,mc_p5_smp,mc_p95_smp,mc_delta,mc_mean_curt
0,63749.909,63749.90900000001,63749.909,63749.909,7.275957614183426e-12,0.0
1,63749.909,63749.90900000001,63749.909,63749.909,7.275957614183426e-12,0.0
2,63749.909,63722.30300000001,63722.303,63722.303,-27.60599999999249,0.0
3,63749.909,63722.30300000001,63722.303,63722.303,-27.60599999999249,0.0
4,63749.909,63722.30300000001,63722.303,63722.303,-27.60599999999249,0.0
5,60000.0,60000.0,60000.0,60000.0,0.0,0.0
6,60000.0,60000.0,60000.0,60000.0,0.0,0.0
7,71249.727,61561.74199999999,61561.742,61561.742,-9687.985000000008,0.0
8,60000.0,60000.0,60000.0,60000.0,0.0,0.0
9,60000.0,0.0,0.0,0.0,-60000.0,990.0
10,-446056.863,0.0,0.0,0.0,446056.863,4800.0
11,-0.0,0.0,0.0,0.0,0.0,5570.0
12,-0.0,0.0,0.0,0.0,0.0,6380.0
13,-641938.0,0.0,0.0,0.0,641938.0,5170.0
14,60000.0,0.0,0.0,0.0,-60000.0,960.0
15,60000.0,60000.0,60000.0,60000.0,0.0,0.0
16,71277.333,60000.0,60000.0,60000.0,-11277.332999999999,0.0
17,105340.83333333333,80675.16666666669,80675.16666666667,80675.16666666667,-24665.666666666642,0.0
18,102421.83366666667,105340.83333333334,105340.83333333333,105340.83333333333,2918.9996666666702,0.0
19,93024.0,93008.0,93008.0,93008.0,-16.0,0.0
20,105340.83333333333,93008.0,93008.0,93008.0,-12332.833333333328,0.0
21,104725.66666666667,93008.0,93008.0,93008.0,-11717.666666666672,0.0
22,60000.0,60000.0,60000.0,60000.0,0.0,0.0
23,60000.0,60000.0,60000.0,60000.0,0.0,0.0
