hour,demand,re,smp_basic,smp_pre,smp_actual,error_pre,marginal_fuel,curtailment,Nuclear_base,Coal_lowcost,Coal_highcost,LNG_CC_low,LNG_CC_mid,CHP_mustrun,LNG_GT_peak,Oil_peak,Hydro_fixed
0,39360.0,3750.0,75000.0,63749.909,80000.0,-16250.091,lng,0.0,22000.0,0.0,0.0,5610.0,0.0,4000.0,0.0,0.0,4000.0
1,37440.0,3900.0,75000.0,63749.909,78000.0,-14250.091,lng,0.0,21900.0,0.0,0.0,3640.0,0.0,4000.0,0.0,0.0,4000.0
2,36480.0,4050.0,75000.0,63749.909,76000.0,-12250.091,lng,0.0,21300.0,0.0,0.0,3130.0,0.0,4000.0,0.0,0.0,4000.0
3,36000.0,4200.0,75000.0,63749.909,75000.0,-11250.091,lng,0.0,20700.0,0.0,0.0,3100.0,0.0,4000.0,0.0,0.0,4000.0
4,36480.0,4050.0,75000.0,63749.909,76000.0,-12250.091,lng,0.0,20100.0,0.0,0.0,4330.0,0.0,4000.0,0.0,0.0,4000.0
5,38400.0,3950.0,75000.0,60000.0,80000.0,-20000.0,lng,0.0,19500.0,0.0,0.0,8000.0,0.0,4000.0,0.0,0.0,2950.0
6,40800.0,4800.0,75000.0,60000.0,82000.0,-22000.0,nuclear,0.0,18900.0,0.0,0.0,12000.0,0.0,4000.0,0.0,0.0,1100.0
7,44160.0,9000.0,75000.0,71249.727,85000.0,-13750.273000000001,lng,0.0,18300.0,0.0,0.0,8860.0,0.0,4000.0,0.0,0.0,4000.0
8,47040.0,16700.0,75000.0,60000.0,75000.0,-15000.0,lng,0.0,17700.0,0.0,0.0,4860.0,0.0,4000.0,0.0,0.0,3780.0
9,48960.0,24550.0,60000.0,60000.0,65000.0,-5000.0,lng,0.0,17100.0,0.0,0.0,860.0,0.0,4000.0,0.0,0.0,2450.0
10,50400.0,30400.0,55000.0,-446056.863,58000.0,-504056.863,none,500.0,16500.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0
11,50880.0,32250.0,55000.0,-0.0,55000.0,-55000.0,none,1870.0,16500.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0
12,49920.0,32100.0,55000.0,-0.0,55000.0,-55000.0,none,2680.0,16500.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0
13,50880.0,31250.0,55000.0,-641938.0,58000.0,-699938.0,none,870.0,16500.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0
14,51840.0,27400.0,60000.0,60000.0,65000.0,-5000.0,lng,0.0,17100.0,0.0,0.0,1620.0,0.0,4000.0,0.0,0.0,1720.0
15,51360.0,20700.0,75000.0,60000.0,80000.0,-20000.0,lng,0.0,17700.0,0.0,0.0,5620.0,0.0,4000.0,0.0,0.0,3340.0
16,50400.0,13000.0,75000.0,71277.333,100000.0,-28722.667,lng,0.0,18300.0,1480.0,0.0,9620.0,0.0,4000.0,0.0,0.0,4000.0
17,49920.0,6300.0,90000.0,105340.83333333333,125000.0,-19659.16666666667,chp,0.0,18900.0,3480.0,240.0,12000.0,0.0,5000.0,0.0,0.0,4000.0
18,50880.0,3900.0,90000.0,102421.83366666667,145000.0,-42578.16633333333,coal,0.0,19500.0,5480.0,0.0,12000.0,0.0,6000.0,0.0,0.0,4000.0
19,51840.0,3900.0,90000.0,93024.0,140000.0,-46976.0,coal,0.0,20100.0,5840.0,0.0,12000.0,0.0,6000.0,0.0,0.0,4000.0
20,50400.0,4200.0,90000.0,105340.83333333333,130000.0,-24659.16666666667,chp,0.0,20700.0,4000.0,150.0,12000.0,0.0,5350.0,0.0,0.0,4000.0
21,48000.0,4350.0,90000.0,104725.66666666667,115000.0,-10274.333333333328,chp,0.0,21300.0,2000.0,0.0,12000.0,0.0,4350.0,0.0,0.0,4000.0
22,45120.0,4200.0,75000.0,60000.0,100000.0,-40000.0,nuclear,0.0,21900.0,0.0,0.0,12000.0,0.0,4000.0,0.0,0.0,3020.0
23,42240.0,4050.0,75000.0,60000.0,88000.0,-28000.0,hydro,0.0,22000.0,0.0,0.0,12000.0,0.0,4000.0,0.0,0.0,190.0
