hour,smp_pre,smp_Case_A_zero,delta_Case_A_zero,curt_Case_A_zero,smp_Case_B_floor,delta_Case_B_floor,curt_Case_B_floor,smp_Case_C_mixed,delta_Case_C_mixed,curt_Case_C_mixed,smp_Case_D_conservative,delta_Case_D_conservative,curt_Case_D_conservative
0,63749.909,63749.909,0.0,0.0,63749.909,0.0,0.0,63749.909,0.0,0.0,63749.909,0.0,0.0
1,63749.909,63749.909,0.0,0.0,63749.909,0.0,0.0,63749.909,0.0,0.0,63749.909,0.0,0.0
2,63749.909,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0
3,63749.909,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0
4,63749.909,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0,63722.303,-27.605999999999767,0.0
5,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0
6,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0
7,71249.727,61561.742,-9687.985,0.0,61561.742,-9687.985,0.0,61561.742,-9687.985,0.0,61561.742,-9687.985,0.0
8,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0
9,60000.0,-0.0,-60000.0,0.0,-0.0,-60000.0,990.0,-0.0,-60000.0,0.0,-0.0,-60000.0,0.0
10,-446056.863,-0.0,446056.863,0.0,-0.0,446056.863,4800.0,-0.0,446056.863,2337.5999999999985,-0.0,446056.863,2337.5999999999985
11,-0.0,-0.0,0.0,0.0,-0.0,0.0,5570.0,-0.0,0.0,2957.75,-0.0,0.0,2957.75
12,-0.0,-0.0,0.0,0.0,-0.0,0.0,6380.0,-0.0,0.0,3779.9000000000015,-0.0,0.0,3779.9000000000015
13,-641938.0,-0.0,641938.0,0.0,-0.0,641938.0,5170.0,-0.0,641938.0,2638.75,-0.0,641938.0,2638.75
14,60000.0,-0.0,-60000.0,0.0,-0.0,-60000.0,960.0,-0.0,-60000.0,0.0,-0.0,-60000.0,0.0
15,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0
16,71277.333,60000.0,-11277.332999999999,0.0,60000.0,-11277.332999999999,0.0,60000.0,-11277.332999999999,0.0,60000.0,-11277.332999999999,0.0
17,105340.83333333333,80675.16666666667,-24665.666666666657,0.0,80675.16666666667,-24665.666666666657,0.0,80675.16666666667,-24665.666666666657,0.0,80675.16666666667,-24665.666666666657,0.0
18,102421.83366666667,105340.83333333333,2918.9996666666557,0.0,105340.83333333333,2918.9996666666557,0.0,105340.83333333333,2918.9996666666557,0.0,105340.83333333333,2918.9996666666557,0.0
19,93024.0,93008.0,-16.0,0.0,93008.0,-16.0,0.0,93008.0,-16.0,0.0,93008.0,-16.0,0.0
20,105340.83333333333,93008.0,-12332.833333333328,0.0,93008.0,-12332.833333333328,0.0,93008.0,-12332.833333333328,0.0,93008.0,-12332.833333333328,0.0
21,104725.66666666667,93008.0,-11717.666666666672,0.0,93008.0,-11717.666666666672,0.0,93008.0,-11717.666666666672,0.0,93008.0,-11717.666666666672,0.0
22,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0
23,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0
